"","superkingdom","clade","kingdom","phylum","class","order","family","subfamily","genus","species","taxID","length","unique_id"
"no_species_TAXID_No_TO_sample_contig_507652","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_507652",NA,"no_species_TAXID_No_TO_sample_contig_507652"
"no_species_TAXID_No_TO_sample_contig_508865","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_508865",NA,"no_species_TAXID_No_TO_sample_contig_508865"
"no_species_TAXID_No_TO_sample_contig_510882","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_510882",NA,"no_species_TAXID_No_TO_sample_contig_510882"
"no_species_TAXID_No_TO_sample_contig_512165","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_512165",NA,"no_species_TAXID_No_TO_sample_contig_512165"
"no_species_TAXID_No_TO_sample_contig_513162","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_513162",NA,"no_species_TAXID_No_TO_sample_contig_513162"
"no_species_TAXID_No_TO_sample_contig_513467","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_513467",NA,"no_species_TAXID_No_TO_sample_contig_513467"
"Ceduovirus CHPC1170_TAXID_No_2675240","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","Ceduovirus","Ceduovirus CHPC1170","2675240",NA,"Ceduovirus CHPC1170_TAXID_No_2675240"
"Deltapolyomavirus sextihominis_TAXID_No_746830","Viruses","Monodnaviria","Shotokuvirae","Cossaviricota","Papovaviricetes","Sepolyvirales","Polyomaviridae","unknown_subfamily_of_Polyomaviridae","Deltapolyomavirus","Deltapolyomavirus sextihominis","746830",NA,"Deltapolyomavirus sextihominis_TAXID_No_746830"
"no_species_TAXID_No_TO_sample_contig_519886","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_519886",NA,"no_species_TAXID_No_TO_sample_contig_519886"
"no_species_TAXID_No_TO_sample_contig_521155","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_521155",NA,"no_species_TAXID_No_TO_sample_contig_521155"
"no_species_TAXID_No_TO_sample_contig_521678","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_521678",NA,"no_species_TAXID_No_TO_sample_contig_521678"
"no_species_TAXID_No_TO_sample_contig_523044","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_523044",NA,"no_species_TAXID_No_TO_sample_contig_523044"
"no_species_TAXID_No_TO_sample_contig_527263","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_527263",NA,"no_species_TAXID_No_TO_sample_contig_527263"
"no_species_TAXID_No_TO_sample_contig_529867","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_529867",NA,"no_species_TAXID_No_TO_sample_contig_529867"
"Micromonas sp. RCC1109 virus MpV1_TAXID_No_880161","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes","Algavirales","Phycodnaviridae","unknown_subfamily_of_Phycodnaviridae","Prasinovirus","Micromonas sp. RCC1109 virus MpV1","880161",NA,"Micromonas sp. RCC1109 virus MpV1_TAXID_No_880161"
"Thottimvirus imjinense_TAXID_No_467989","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Mammantavirinae","Thottimvirus","Thottimvirus imjinense","467989",NA,"Thottimvirus imjinense_TAXID_No_467989"
"no_species_TAXID_No_TO_sample_contig_533380","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_533380",NA,"no_species_TAXID_No_TO_sample_contig_533380"
"no_species_TAXID_No_TO_sample_contig_533452","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_533452",NA,"no_species_TAXID_No_TO_sample_contig_533452"
"Phlebovirus gordilense_TAXID_No_1460451","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Phenuiviridae","unknown_subfamily_of_Phenuiviridae","Phlebovirus","Phlebovirus gordilense","1460451",NA,"Phlebovirus gordilense_TAXID_No_1460451"
"no_species_TAXID_No_TO_sample_contig_539916","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_539916",NA,"no_species_TAXID_No_TO_sample_contig_539916"
"no_species_TAXID_No_TO_sample_contig_539994","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_539994",NA,"no_species_TAXID_No_TO_sample_contig_539994"
"no_species_TAXID_No_TO_sample_contig_540108","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_540108",NA,"no_species_TAXID_No_TO_sample_contig_540108"
"Acinetobacter phage Ab1656-2_TAXID_No_2897426","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","unknown_genus_of_Caudoviricetes","Acinetobacter phage Ab1656-2","2897426",NA,"Acinetobacter phage Ab1656-2_TAXID_No_2897426"
"no_species_TAXID_No_TO_sample_contig_542573","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_542573",NA,"no_species_TAXID_No_TO_sample_contig_542573"
"no_species_TAXID_No_TO_sample_contig_547605","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_547605",NA,"no_species_TAXID_No_TO_sample_contig_547605"
"no_species_TAXID_No_TO_sample_contig_548235","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_548235",NA,"no_species_TAXID_No_TO_sample_contig_548235"
"no_species_TAXID_No_TO_sample_contig_551309","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_551309",NA,"no_species_TAXID_No_TO_sample_contig_551309"
"no_species_TAXID_No_TO_sample_contig_554706","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_554706",NA,"no_species_TAXID_No_TO_sample_contig_554706"
"no_species_TAXID_No_TO_sample_contig_555034","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_555034",NA,"no_species_TAXID_No_TO_sample_contig_555034"
"no_species_TAXID_No_TO_sample_contig_556539","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_556539",NA,"no_species_TAXID_No_TO_sample_contig_556539"
"Streptococcus phage Javan150_TAXID_No_2548008","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","unknown_genus_of_Caudoviricetes","Streptococcus phage Javan150","2548008",NA,"Streptococcus phage Javan150_TAXID_No_2548008"
"Armadillidium vulgare clopovirus_TAXID_No_2984284","Viruses","unknown_clade_of_Viruses","unknown_kingdom_of_Viruses","unknown_phylum_of_Viruses","Naldaviricetes","unknown_order_of_Naldaviricetes","Nimaviridae","unknown_subfamily_of_Nimaviridae","unknown_genus_of_Nimaviridae","Armadillidium vulgare clopovirus","2984284",NA,"Armadillidium vulgare clopovirus_TAXID_No_2984284"
"no_species_TAXID_No_TO_sample_contig_562340","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_562340",NA,"no_species_TAXID_No_TO_sample_contig_562340"
"no_species_TAXID_No_TO_sample_contig_568034","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_568034",NA,"no_species_TAXID_No_TO_sample_contig_568034"
"Betapapillomavirus 1_TAXID_No_10608","Viruses","Monodnaviria","Shotokuvirae","Cossaviricota","Papovaviricetes","Zurhausenvirales","Papillomaviridae","Firstpapillomavirinae","Betapapillomavirus","Betapapillomavirus 1","10608",NA,"Betapapillomavirus 1_TAXID_No_10608"
"Klumppvirus A9_TAXID_No_857312","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","Herelleviridae","unknown_subfamily_of_Herelleviridae","Klumppvirus","Klumppvirus A9","857312",NA,"Klumppvirus A9_TAXID_No_857312"
"Ceduovirus PCB1_TAXID_No_2675263","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","unknown_genus_of_Caudoviricetes","Ceduovirus PCB1","2675263",NA,"Ceduovirus PCB1_TAXID_No_2675263"
"no_species_TAXID_No_TO_sample_contig_571658","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_571658",NA,"no_species_TAXID_No_TO_sample_contig_571658"
"Skunavirus sv145_TAXID_No_1527692","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","Skunavirus","Skunavirus sv145","1527692",NA,"Skunavirus sv145_TAXID_No_1527692"
"no_species_TAXID_No_TO_sample_contig_576442","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_576442",NA,"no_species_TAXID_No_TO_sample_contig_576442"
"no_species_TAXID_No_TO_sample_contig_576827","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_576827",NA,"no_species_TAXID_No_TO_sample_contig_576827"
"Ceduovirus CHPC966_TAXID_No_2675258","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","Ceduovirus","Ceduovirus CHPC966","2675258",NA,"Ceduovirus CHPC966_TAXID_No_2675258"
"Ceduovirus cv50102_TAXID_No_2024336","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","Ceduovirus","Ceduovirus cv50102","2024336",NA,"Ceduovirus cv50102_TAXID_No_2024336"
"Staphylococcus phage StB20_TAXID_No_1147043","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","unknown_genus_of_Caudoviricetes","Staphylococcus phage StB20","1147043",NA,"Staphylococcus phage StB20_TAXID_No_1147043"
"no_species_TAXID_No_TO_sample_contig_590014","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_590014",NA,"no_species_TAXID_No_TO_sample_contig_590014"
"no_species_TAXID_No_TO_sample_contig_603675","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_603675",NA,"no_species_TAXID_No_TO_sample_contig_603675"
"no_species_TAXID_No_TO_sample_contig_604045","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_604045",NA,"no_species_TAXID_No_TO_sample_contig_604045"
"Skunavirus sv936_TAXID_No_39838","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","Skunavirus","Skunavirus sv936","39838",NA,"Skunavirus sv936_TAXID_No_39838"
"no_species_TAXID_No_TO_sample_contig_606094","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_606094",NA,"no_species_TAXID_No_TO_sample_contig_606094"
"Ceduovirus cv37203_TAXID_No_2024335","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","unknown_genus_of_Caudoviricetes","Ceduovirus cv37203","2024335",NA,"Ceduovirus cv37203_TAXID_No_2024335"
"no_species_TAXID_No_TO_sample_contig_613499","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_613499",NA,"no_species_TAXID_No_TO_sample_contig_613499"
"no_species_TAXID_No_TO_sample_contig_616355","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_616355",NA,"no_species_TAXID_No_TO_sample_contig_616355"
"no_species_TAXID_No_TO_sample_contig_616464","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_616464",NA,"no_species_TAXID_No_TO_sample_contig_616464"
"uncultured Caudovirales phage_TAXID_No_2100421","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","unknown_genus_of_Caudoviricetes","uncultured Caudovirales phage","2100421",NA,"uncultured Caudovirales phage_TAXID_No_2100421"
"no_species_TAXID_No_TO_sample_contig_634259","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_634259",NA,"no_species_TAXID_No_TO_sample_contig_634259"
"no_species_TAXID_No_TO_sample_contig_635705","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_635705",NA,"no_species_TAXID_No_TO_sample_contig_635705"
"Streptococcus phage MissG2_TAXID_No_2911161","Viruses","unknown_clade_of_Viruses","unknown_kingdom_of_Viruses","unknown_phylum_of_Viruses","unknown_class_of_Viruses","unknown_order_of_Viruses","unknown_family_of_Viruses","unknown_subfamily_of_Viruses","unknown_genus_of_Viruses","Streptococcus phage MissG2","2911161",NA,"Streptococcus phage MissG2_TAXID_No_2911161"
"no_species_TAXID_No_TO_sample_contig_637111","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_637111",NA,"no_species_TAXID_No_TO_sample_contig_637111"
"unknown_species_of_Moineauvirus_TAXID_No_1623304","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","Aliceevansviridae","unknown_subfamily_of_Aliceevansviridae","Moineauvirus","unknown_species_of_Moineauvirus","1623304",NA,"unknown_species_of_Moineauvirus_TAXID_No_1623304"
"no_species_TAXID_No_TO_sample_contig_639703","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_639703",NA,"no_species_TAXID_No_TO_sample_contig_639703"
"Campylobacter virus IBB35_TAXID_No_2920889","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","Eucampyvirinae","Firehammervirus","Campylobacter virus IBB35","2920889",NA,"Campylobacter virus IBB35_TAXID_No_2920889"
"no_species_TAXID_No_TO_sample_contig_644097","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_644097",NA,"no_species_TAXID_No_TO_sample_contig_644097"
"Bracoviriform congregatae_TAXID_No_39640","Viruses","unknown_clade_of_Viruses","unknown_kingdom_of_Viruses","unknown_phylum_of_Viruses","unknown_class_of_Viruses","unknown_order_of_Viruses","Polydnaviriformidae","unknown_subfamily_of_Polydnaviriformidae","Bracoviriform","Bracoviriform congregatae","39640",NA,"Bracoviriform congregatae_TAXID_No_39640"
"Chrysochromulina parva virus_TAXID_No_2565304","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes","Algavirales","Phycodnaviridae","unknown_subfamily_of_Phycodnaviridae","Prymnesiovirus","Chrysochromulina parva virus","2565304",NA,"Chrysochromulina parva virus_TAXID_No_2565304"
"Streptococcus phage SW6_TAXID_No_2419655","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","Aliceevansviridae","unknown_subfamily_of_Aliceevansviridae","Moineauvirus","Streptococcus phage SW6","2419655",NA,"Streptococcus phage SW6_TAXID_No_2419655"
"no_species_TAXID_No_TO_sample_contig_647698","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_647698",NA,"no_species_TAXID_No_TO_sample_contig_647698"
"Emiliania huxleyi virus 86_TAXID_No_181082","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes","Algavirales","Phycodnaviridae","unknown_subfamily_of_Phycodnaviridae","Coccolithovirus","Emiliania huxleyi virus 86","181082",NA,"Emiliania huxleyi virus 86_TAXID_No_181082"
"no_species_TAXID_No_TO_sample_contig_656452","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_656452",NA,"no_species_TAXID_No_TO_sample_contig_656452"
"Skunavirus sv96603_TAXID_No_2029676","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","Skunavirus","Skunavirus sv96603","2029676",NA,"Skunavirus sv96603_TAXID_No_2029676"
"no_species_TAXID_No_TO_sample_contig_661706","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_661706",NA,"no_species_TAXID_No_TO_sample_contig_661706"
"no_species_TAXID_No_TO_sample_contig_665114","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_665114",NA,"no_species_TAXID_No_TO_sample_contig_665114"
"no_species_TAXID_No_TO_sample_contig_665451","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_665451",NA,"no_species_TAXID_No_TO_sample_contig_665451"
"no_species_TAXID_No_TO_sample_contig_666021","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_666021",NA,"no_species_TAXID_No_TO_sample_contig_666021"
"no_species_TAXID_No_TO_sample_contig_666779","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_666779",NA,"no_species_TAXID_No_TO_sample_contig_666779"
"no_species_TAXID_No_TO_sample_contig_670228","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_670228",NA,"no_species_TAXID_No_TO_sample_contig_670228"
"Glossinavirus glopallidipedis_TAXID_No_379529","Viruses","unknown_clade_of_Viruses","unknown_kingdom_of_Viruses","unknown_phylum_of_Viruses","Naldaviricetes","Lefavirales","Hytrosaviridae","unknown_subfamily_of_Hytrosaviridae","Glossinavirus","Glossinavirus glopallidipedis","379529",NA,"Glossinavirus glopallidipedis_TAXID_No_379529"
"no_species_TAXID_No_TO_sample_contig_670878","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_670878",NA,"no_species_TAXID_No_TO_sample_contig_670878"
"Bacillus phage Gamma_TAXID_No_347962","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","Wbetavirus","Bacillus phage Gamma","347962",NA,"Bacillus phage Gamma_TAXID_No_347962"
"Heterosigma akashiwo virus 01_TAXID_No_97195","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes","Algavirales","Phycodnaviridae","unknown_subfamily_of_Phycodnaviridae","Raphidovirus","Heterosigma akashiwo virus 01","97195",NA,"Heterosigma akashiwo virus 01_TAXID_No_97195"
"Alphanudivirus quartudromelanogasteris_TAXID_No_2486603","Viruses","unknown_clade_of_Viruses","unknown_kingdom_of_Viruses","unknown_phylum_of_Viruses","Naldaviricetes","Lefavirales","Nudiviridae","unknown_subfamily_of_Nudiviridae","Alphanudivirus","Alphanudivirus quartudromelanogasteris","2486603",NA,"Alphanudivirus quartudromelanogasteris_TAXID_No_2486603"
"no_species_TAXID_No_TO_sample_contig_679016","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_679016",NA,"no_species_TAXID_No_TO_sample_contig_679016"
"no_species_TAXID_No_TO_sample_contig_680176","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_680176",NA,"no_species_TAXID_No_TO_sample_contig_680176"
"no_species_TAXID_No_TO_sample_contig_680224","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_680224",NA,"no_species_TAXID_No_TO_sample_contig_680224"
"Staphylococcus phage phiSa2wa_st59_TAXID_No_2060952","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","Bronfenbrennervirinae","Biseptimavirus","Staphylococcus phage phiSa2wa_st59","2060952",NA,"Staphylococcus phage phiSa2wa_st59_TAXID_No_2060952"
"no_species_TAXID_No_TO_sample_contig_684206","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_684206",NA,"no_species_TAXID_No_TO_sample_contig_684206"
"no_species_TAXID_No_TO_sample_contig_684595","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_684595",NA,"no_species_TAXID_No_TO_sample_contig_684595"
"Staphylococcus phage StB20-like_TAXID_No_1732064","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","unknown_genus_of_Caudoviricetes","Staphylococcus phage StB20-like","1732064",NA,"Staphylococcus phage StB20-like_TAXID_No_1732064"
"no_species_TAXID_No_TO_sample_contig_685728","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_685728",NA,"no_species_TAXID_No_TO_sample_contig_685728"
"no_species_TAXID_No_TO_sample_contig_687324","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_687324",NA,"no_species_TAXID_No_TO_sample_contig_687324"
"Theiavirus salishense_TAXID_No_2024608","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes","Imitervirales","Mimiviridae","Klosneuvirinae","Theiavirus","Theiavirus salishense","2024608",NA,"Theiavirus salishense_TAXID_No_2024608"
"no_species_TAXID_No_TO_sample_contig_688909","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_688909",NA,"no_species_TAXID_No_TO_sample_contig_688909"
"Okubovirus SPO1_TAXID_No_2884427","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","Herelleviridae","Spounavirinae","Okubovirus","Okubovirus SPO1","2884427",NA,"Okubovirus SPO1_TAXID_No_2884427"
"no_species_TAXID_No_TO_sample_contig_696655","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_696655",NA,"no_species_TAXID_No_TO_sample_contig_696655"
"Human endogenous retrovirus H_TAXID_No_129526","Viruses","Riboviria","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","unknown_subfamily_of_Retroviridae","unknown_genus_of_Retroviridae","Human endogenous retrovirus H","129526",NA,"Human endogenous retrovirus H_TAXID_No_129526"
"Bracoviriform facetosae_TAXID_No_2083300","Viruses","unknown_clade_of_Viruses","unknown_kingdom_of_Viruses","unknown_phylum_of_Viruses","unknown_class_of_Viruses","unknown_order_of_Viruses","Polydnaviriformidae","unknown_subfamily_of_Polydnaviriformidae","Bracoviriform","Bracoviriform facetosae","2083300",NA,"Bracoviriform facetosae_TAXID_No_2083300"
"Skunavirus jm3_TAXID_No_1262536","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","Skunavirus","Skunavirus jm3","1262536",NA,"Skunavirus jm3_TAXID_No_1262536"
"Squirrelpox virus Berlin_2015_TAXID_No_2029293","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Chordopoxvirinae","unknown_genus_of_Chordopoxvirinae","Squirrelpox virus Berlin_2015","2029293",NA,"Squirrelpox virus Berlin_2015_TAXID_No_2029293"
"Ichnoviriform fugitivi_TAXID_No_265522","Viruses","unknown_clade_of_Viruses","unknown_kingdom_of_Viruses","unknown_phylum_of_Viruses","unknown_class_of_Viruses","unknown_order_of_Viruses","Polydnaviriformidae","unknown_subfamily_of_Polydnaviriformidae","Ichnoviriform","Ichnoviriform fugitivi","265522",NA,"Ichnoviriform fugitivi_TAXID_No_265522"
"no_species_TAXID_No_TO_sample_contig_712398","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_712398",NA,"no_species_TAXID_No_TO_sample_contig_712398"
"no_species_TAXID_No_TO_sample_contig_713007","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_713007",NA,"no_species_TAXID_No_TO_sample_contig_713007"
"no_species_TAXID_No_TO_sample_contig_716029","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_716029",NA,"no_species_TAXID_No_TO_sample_contig_716029"
"no_species_TAXID_No_TO_sample_contig_716053","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_716053",NA,"no_species_TAXID_No_TO_sample_contig_716053"
